,Unnamed: 0,Year,Value,Item,Unit
0,10,2001,14.65,Maize (corn),卢比/kg
1,11,2002,18.11,Maize (corn),卢比/kg
2,12,2003,19.54,Maize (corn),卢比/kg
3,13,2004,21.27,Maize (corn),卢比/kg
4,14,2005,20.58,Maize (corn),卢比/kg
5,15,2006,20.15,Maize (corn),卢比/kg
6,16,2007,24.71,Maize (corn),卢比/kg
7,17,2008,36.73,Maize (corn),卢比/kg
8,18,2009,35.46,Maize (corn),卢比/kg
9,19,2010,34.64,Maize (corn),卢比/kg
10,20,2011,38.93,Maize (corn),卢比/kg
11,21,2012,35.25,Maize (corn),卢比/kg
12,22,2013,31.479,Maize (corn),卢比/kg
13,23,2014,34.2866,Maize (corn),卢比/kg
14,24,2015,36.1812,Maize (corn),卢比/kg
15,25,2016,40.9555,Maize (corn),卢比/kg
16,26,2018,44.72,Maize (corn),卢比/kg
17,27,2019,47.5222,Maize (corn),卢比/kg
18,28,2020,61.99,Maize (corn),卢比/kg
19,29,2021,77.1177,Maize (corn),卢比/kg
20,38,2001,40.22,Millet,卢比/kg
21,39,2002,46.63,Millet,卢比/kg
22,40,2003,37.75,Millet,卢比/kg
23,41,2004,39.76,Millet,卢比/kg
24,42,2005,43.33,Millet,卢比/kg
25,43,2020,219.6726,Millet,卢比/kg
26,44,2021,394.2495,Millet,卢比/kg
27,55,2001,12.48,Rice,卢比/kg
28,56,2002,13.74,Rice,卢比/kg
29,57,2003,12.43,Rice,卢比/kg
30,58,2004,15.75,Rice,卢比/kg
31,59,2005,16.02,Rice,卢比/kg
32,60,2006,13.89,Rice,卢比/kg
33,61,2007,18.01,Rice,卢比/kg
34,62,2008,31.99,Rice,卢比/kg
35,63,2009,33.84,Rice,卢比/kg
36,64,2010,29.77,Rice,卢比/kg
37,65,2011,29.26,Rice,卢比/kg
38,66,2012,30.11,Rice,卢比/kg
39,67,2013,31.4226,Rice,卢比/kg
40,68,2014,40.0605,Rice,卢比/kg
41,69,2015,39.5121,Rice,卢比/kg
42,70,2016,38.5101,Rice,卢比/kg
43,71,2017,48.9105,Rice,卢比/kg
44,72,2018,48.11,Rice,卢比/kg
45,73,2019,41.6825,Rice,卢比/kg
46,74,2020,49.3951,Rice,卢比/kg
47,75,2021,60.196,Rice,卢比/kg
48,86,2001,26.31,Sorghum,卢比/kg
49,87,2002,32.55,Sorghum,卢比/kg
50,88,2003,33.63,Sorghum,卢比/kg
51,89,2004,40.65,Sorghum,卢比/kg
52,90,2005,40.42,Sorghum,卢比/kg
53,91,2006,52.67,Sorghum,卢比/kg
54,92,2007,58.104331970214844,Sorghum,卢比/kg
55,93,2008,65.31571197509766,Sorghum,卢比/kg
56,94,2009,64.73604583740234,Sorghum,卢比/kg
57,95,2010,74.50408935546875,Sorghum,卢比/kg
58,96,2011,83.38133239746094,Sorghum,卢比/kg
59,97,2012,101.2279052734375,Sorghum,卢比/kg
60,98,2013,103.71906280517578,Sorghum,卢比/kg
61,99,2014,106.21585083007812,Sorghum,卢比/kg
62,100,2015,99.354248046875,Sorghum,卢比/kg
63,101,2016,87.0062255859375,Sorghum,卢比/kg
64,102,2017,69.96098327636719,Sorghum,卢比/kg
65,103,2018,63.927955627441406,Sorghum,卢比/kg
66,104,2019,64.22064208984375,Sorghum,卢比/kg
67,105,2020,72.49495697021484,Sorghum,卢比/kg
68,106,2021,73.41973114013672,Sorghum,卢比/kg
