,Year,Value,Item,Unit
10,2001,14.65,Maize (corn),卢比/kg
11,2002,18.11,Maize (corn),卢比/kg
12,2003,19.54,Maize (corn),卢比/kg
13,2004,21.27,Maize (corn),卢比/kg
14,2005,20.58,Maize (corn),卢比/kg
15,2006,20.15,Maize (corn),卢比/kg
16,2007,24.71,Maize (corn),卢比/kg
17,2008,36.73,Maize (corn),卢比/kg
18,2009,35.46,Maize (corn),卢比/kg
19,2010,34.64,Maize (corn),卢比/kg
20,2011,38.93,Maize (corn),卢比/kg
21,2012,35.25,Maize (corn),卢比/kg
22,2013,31.479,Maize (corn),卢比/kg
23,2014,34.2866,Maize (corn),卢比/kg
24,2015,36.1812,Maize (corn),卢比/kg
25,2016,40.9555,Maize (corn),卢比/kg
26,2018,44.72,Maize (corn),卢比/kg
27,2019,47.5222,Maize (corn),卢比/kg
28,2020,61.99,Maize (corn),卢比/kg
29,2021,77.1177,Maize (corn),卢比/kg
38,2001,40.22,Millet,卢比/kg
39,2002,46.63,Millet,卢比/kg
40,2003,37.75,Millet,卢比/kg
41,2004,39.76,Millet,卢比/kg
42,2005,43.33,Millet,卢比/kg
43,2020,219.67260000000002,Millet,卢比/kg
44,2021,394.2495,Millet,卢比/kg
55,2001,12.48,Rice,卢比/kg
56,2002,13.74,Rice,卢比/kg
57,2003,12.43,Rice,卢比/kg
58,2004,15.75,Rice,卢比/kg
59,2005,16.02,Rice,卢比/kg
60,2006,13.89,Rice,卢比/kg
61,2007,18.01,Rice,卢比/kg
62,2008,31.99,Rice,卢比/kg
63,2009,33.84,Rice,卢比/kg
64,2010,29.77,Rice,卢比/kg
65,2011,29.26,Rice,卢比/kg
66,2012,30.11,Rice,卢比/kg
67,2013,31.4226,Rice,卢比/kg
68,2014,40.0605,Rice,卢比/kg
69,2015,39.5121,Rice,卢比/kg
70,2016,38.5101,Rice,卢比/kg
71,2017,48.9105,Rice,卢比/kg
72,2018,48.11,Rice,卢比/kg
73,2019,41.6825,Rice,卢比/kg
74,2020,49.3951,Rice,卢比/kg
75,2021,60.196,Rice,卢比/kg
86,2001,26.31,Sorghum,卢比/kg
87,2002,32.55,Sorghum,卢比/kg
88,2003,33.63,Sorghum,卢比/kg
89,2004,40.65,Sorghum,卢比/kg
90,2005,40.42,Sorghum,卢比/kg
91,2006,52.67,Sorghum,卢比/kg
